[2025-05-17 21:38:23] Starting OpenShift user cleanup script (Bash 3.2 compatible)
[2025-05-17 21:38:23] LDAP Provider: ceo_rnd_oim
[2025-05-17 21:38:23] Dry Run Mode: true
[2025-05-17 21:38:23] Exclusion file: ./config/excluded_users.txt
[2025-05-17 21:38:23] Checking dependencies...
[2025-05-17 21:38:23] All required commands found
[2025-05-17 21:38:23] Checking OpenShift connection...
[2025-05-17 21:38:23] Logged in as: kubeadmin
[2025-05-17 21:38:23] Checking user permissions...
[2025-05-17 21:38:23] Dependencies and connection verified
[2025-05-17 21:38:23] Loading exclusion list...
[2025-05-17 21:38:24] Loaded 3 users from exclusion file
[2025-05-17 21:38:24] CSV file initialized: ./reports/oc_user_audit.csv
[2025-05-17 21:38:24] Finding users and identities for provider: ceo_rnd_oim
[2025-05-17 21:38:24] Retrieving identities from OpenShift API...
[2025-05-17 21:38:29] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-035
[2025-05-17 21:38:29] [DRY-RUN] Would delete user: test-user-036
[2025-05-17 21:38:29] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-036
[2025-05-17 21:38:29] [DRY-RUN] Would delete user: test-user-037
[2025-05-17 21:38:29] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-037
[2025-05-17 21:38:29] [DRY-RUN] Would delete user: test-user-038
[2025-05-17 21:38:29] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-038
[2025-05-17 21:38:30] [DRY-RUN] Would delete user: test-user-039
[2025-05-17 21:38:30] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-039
[2025-05-17 21:38:30] Progress: Processing identity 40/50 (ceo_rnd_oim:test-user-040)...
[2025-05-17 21:38:30] [DRY-RUN] Would delete user: test-user-040
[2025-05-17 21:38:30] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-040
[2025-05-17 21:38:30] [DRY-RUN] Would delete user: test-user-041
[2025-05-17 21:38:30] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-041
[2025-05-17 21:38:30] [DRY-RUN] Would delete user: test-user-042
[2025-05-17 21:38:30] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-042
[2025-05-17 21:38:30] [DRY-RUN] Would delete user: test-user-043
[2025-05-17 21:38:30] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-043
[2025-05-17 21:38:30] [DRY-RUN] Would delete user: test-user-044
[2025-05-17 21:38:30] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-044
[2025-05-17 21:38:30] Progress: Processing identity 45/50 (ceo_rnd_oim:test-user-045)...
[2025-05-17 21:38:31] [DRY-RUN] Would delete user: test-user-045
[2025-05-17 21:38:31] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-045
[2025-05-17 21:38:31] [DRY-RUN] Would delete user: test-user-046
[2025-05-17 21:38:31] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-046
[2025-05-17 21:38:31] [DRY-RUN] Would delete user: test-user-047
[2025-05-17 21:38:31] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-047
[2025-05-17 21:38:31] [DRY-RUN] Would delete user: test-user-048
[2025-05-17 21:38:31] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-048
[2025-05-17 21:38:31] [DRY-RUN] Would delete user: test-user-049
[2025-05-17 21:38:31] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-049
[2025-05-17 21:38:31] Progress: Processing identity 50/50 (ceo_rnd_oim:test-user-050)...
[2025-05-17 21:38:31] [DRY-RUN] Would delete user: test-user-050
[2025-05-17 21:38:31] [DRY-RUN] Would delete identity: ceo_rnd_oim:test-user-050
[2025-05-17 21:38:31] Summary: Found 50 identities (3 excluded, 47 actionable)
[2025-05-17 21:38:31] [DRY-RUN] Dry run complete. No actual deletions performed.
[2025-05-17 21:38:31] [DRY-RUN] CSV file created with findings: ./reports/oc_user_audit.csv
[2025-05-17 21:38:31] All operations completed successfully
